deal_id;type;content
*       53;RULE;              17                        
*       53;BIDS;  passe   
*       53;RULE;          
*       54;DEAL;A95-J86-AT7-Q642, K762-752-652-T85, T8-AKQ93-KJ43-K9, QJ43-T4-Q98-AJ73
*       54;DIRS;  North      East     South      West
*       54;BIDS;  passe     passe       1C      passe   
*       54;RULE;                        16              
*       54;BIDS;  passe     passe   
*       54;RULE;                    
*       55;DEAL;KJ963-T73-86-KQ8, AT72-A2-AJT973-5, Q85-QJ64-K52-T64, 4-K985-Q4-AJ9732
*       55;DIRS;  North      East     South      West
*       55;BIDS;  passe       1K      passe     passe   
*       55;RULE;              17                        
*       55;BIDS;  passe   
*       55;RULE;          
*       56;DEAL;A9832-964-52-A97, T65-T2-KT93-QJ53, KQ-KQJ7-QJ87-KT2, J74-A853-A64-864
*       56;DIRS;  North      East     South      West
*       56;BIDS;  passe     passe      1SA      passe   
*       56;RULE;                        10              
*       56;BIDS;   2SA      passe      4SA      passe   
*       56;RULE;   275                 277              
*       56;BIDS;  passe     passe   
*       56;RULE;                    
*       57;DEAL;J652-4-KJ9-QJ532, Q3-JT52-A654-AK8, T7-AK863-QT8-964, AK984-Q97-732-T7
*       57;DIRS;  North      East     South      West
*       57;BIDS;  passe       1K      passe     passe   
*       57;RULE;              17                        
*       57;BIDS;  passe   
*       57;RULE;          
*       58;DEAL;A9763-9-J95-KQ63, Q852-J853-Q-A972, K4-T72-AK743-JT8, JT-AKQ64-T862-54
*       58;DIRS;  North      East     South      West
*       58;BIDS;  passe     passe     passe     passe   
*       58;RULE;                                        
*       59;DEAL;984-QT7-AJ93-T64, QJ7632-96-7-K972, A5-AK2-K85-AQJ53, KT-J8543-QT642-8
*       59;DIRS;  North      East     South      West
*       59;BIDS;  passe     passe       2T      passe   
*       59;RULE;                        7               
*       59;BIDS;  passe     passe   
*       59;RULE;                    
*       60;DEAL;KQ43-AK32-AK3-83, A8-T8-T8-KJ96542, J97-QJ9754-764-Q, T652-6-QJ952-AT7
*       60;DIRS;  North      East     South      West
*       60;BIDS;    1K        2T      passe     passe   
*       60;RULE;    17       191                        
*       60;BIDS;  passe   
*       60;RULE;          
*       61;DEAL;AQJ7-A82-T853-Q7, 86-743-KQ72-AKJ3, 543-KJ965-6-9652, KT92-QT-AJ94-T84
*       61;DIRS;  North      East     South      West
*       61;BIDS;    1K      passe     passe     passe   
*       61;RULE;    17                                  
*       62;DEAL;Q6-T98-AK652-K84, AJT754-K65-7-JT7, 832-Q7-QT983-A92, K9-AJ432-J4-Q653
*       62;DIRS;  North      East     South      West
*       62;BIDS;    1K        1P        2K      passe   
*       62;RULE;    17       190       150              
*       62;BIDS;  passe     passe   
*       62;RULE;                    
